Date,y,x1,x2,x3,x4,x5
2020/7/21,383,366,367,357.5,363,363.5
2020/7/22,384,383,366,367,357.5,363
2020/7/23,381.5,384,383,366,367,357.5
2020/7/24,386,381.5,384,383,366,367
2020/7/27,424.5,386,381.5,384,383,366
2020/7/28,435,424.5,386,381.5,384,383
2020/7/29,422,435,424.5,386,381.5,384
2020/7/30,434,422,435,424.5,386,381.5
2020/7/31,425.5,434,422,435,424.5,386
2020/8/3,416,425.5,434,422,435,424.5
2020/8/4,425.5,416,425.5,434,422,435
2020/8/5,429,425.5,416,425.5,434,422
2020/8/6,435,429,425.5,416,425.5,434
2020/8/7,433,435,429,425.5,416,425.5
2020/8/10,435.5,433,435,429,425.5,416
2020/8/11,429,435.5,433,435,429,425.5
2020/8/12,419,429,435.5,433,435,429
2020/8/13,429,419,429,435.5,433,435
2020/8/14,427,429,419,429,435.5,433
2020/8/17,435,427,429,419,429,435.5
2020/8/18,433,435,427,429,419,429
2020/8/19,427.5,433,435,427,429,419
2020/8/20,415,427.5,433,435,427,429
2020/8/21,424.5,415,427.5,433,435,427
2020/8/24,428,424.5,415,427.5,433,435
2020/8/25,434.5,428,424.5,415,427.5,433
2020/8/26,442,434.5,428,424.5,415,427.5
2020/8/27,444,442,434.5,428,424.5,415
2020/8/28,435,444,442,434.5,428,424.5
2020/8/31,426.5,435,444,442,434.5,428
2020/9/1,435,426.5,435,444,442,434.5
2020/9/2,433,435,426.5,435,444,442
2020/9/3,436,433,435,426.5,435,444
2020/9/4,429,436,433,435,426.5,435
2020/9/7,426,429,436,433,435,426.5
2020/9/8,431,426,429,436,433,435
2020/9/9,427,431,426,429,436,433
2020/9/10,435,427,431,426,429,436
2020/9/11,436.5,435,427,431,426,429
2020/9/14,441,436.5,435,427,431,426
2020/9/15,445,441,436.5,435,427,431
2020/9/16,458,445,441,436.5,435,427
2020/9/17,448.5,458,445,441,436.5,435
2020/9/18,444,448.5,458,445,441,436.5
2020/9/21,440,444,448.5,458,445,441
2020/9/22,437,440,444,448.5,458,445
2020/9/23,433.5,437,440,444,448.5,458
2020/9/24,423,433.5,437,440,444,448.5
2020/9/25,424,423,433.5,437,440,444
2020/9/28,431.5,424,423,433.5,437,440
2020/9/29,431,431.5,424,423,433.5,437
2020/9/30,433,431,431.5,424,423,433.5
2020/10/5,432.5,433,431,431.5,424,423
2020/10/6,439.5,432.5,433,431,431.5,424
2020/10/7,443,439.5,432.5,433,431,431.5
2020/10/8,453,443,439.5,432.5,433,431
2020/10/12,460,453,443,439.5,432.5,433
2020/10/13,462,460,453,443,439.5,432.5
2020/10/14,-1,462,460,453,443,439.5
2020/10/15,-1,-1,462,460,453,443
2020/10/16,-1,-1,-1,462,460,453
